iter	Logloss
0	0.6896664834
1	0.6860072406
2	0.6818388129
3	0.6786458451
4	0.674394376
5	0.6710590517
6	0.6678207045
7	0.6643026275
8	0.6608693558
9	0.6566747765
10	0.6533050096
11	0.6507022395
12	0.6471980982
13	0.6440710167
14	0.640742969
15	0.6379786144
16	0.6351469183
17	0.631919067
18	0.629337421
19	0.6267666238
20	0.6238956782
21	0.6220514816
22	0.6188388891
23	0.616410713
24	0.6139826692
25	0.6118388975
26	0.6099525408
27	0.6065207244
28	0.604858222
29	0.603230956
30	0.6011298736
31	0.5986871885
32	0.5967462352
33	0.5942473219
34	0.592234176
35	0.5893982022
36	0.5879043844
37	0.5861036709
38	0.5840432933
39	0.5815853494
40	0.5796842189
41	0.5780398418
42	0.5759717026
43	0.5740457877
44	0.5721593868
45	0.5705042933
46	0.5688310744
47	0.567217259
48	0.5649287935
49	0.5632970733
50	0.5620762378
51	0.5603784109
52	0.5588052562
53	0.5566645275
54	0.5550658827
55	0.5529376344
56	0.5516095465
57	0.5499717404
58	0.5480302579
59	0.5465062312
60	0.5456491812
61	0.5436611727
62	0.542355135
63	0.5408869837
64	0.5397947455
65	0.5389694478
66	0.5378993481
67	0.5369986826
68	0.5351968666
69	0.5338342038
70	0.5326956159
71	0.5312407389
72	0.5303760154
73	0.5291178709
74	0.5279660969
75	0.5269946501
76	0.5257376522
77	0.5249250114
78	0.5237284313
79	0.5225726442
80	0.5214599433
81	0.5203918281
82	0.5190615792
83	0.5181207822
84	0.5174006644
85	0.5164638365
86	0.5153327898
87	0.5146160236
88	0.5135135099
89	0.5130142918
90	0.5122974815
91	0.5114780492
92	0.510889351
93	0.5100465896
94	0.5092148974
95	0.5080494963
96	0.5075025173
97	0.5067522347
98	0.5058965077
99	0.5054274542
100	0.5042960547
101	0.503100974
102	0.5025013389
103	0.5017300644
104	0.5009863087
105	0.5003327386
106	0.4997395863
107	0.4992295635
108	0.4983470674
109	0.4977493727
110	0.497418795
111	0.496874021
112	0.4960814018
113	0.4954299486
114	0.4947755847
115	0.4941839758
116	0.4934841884
117	0.4925807005
118	0.4920224758
119	0.4916858122
120	0.4911362312
121	0.4906857
122	0.4901407936
123	0.4894517667
124	0.4888618337
125	0.4882634775
126	0.4876060265
127	0.4872403889
128	0.486648295
129	0.4859883744
130	0.4849316371
131	0.4843213737
132	0.483906123
133	0.4833698603
134	0.4828561772
135	0.4822563215
136	0.4819768123
137	0.4817053293
138	0.4813489087
139	0.4810490691
140	0.4804492576
141	0.4799420131
142	0.4796527576
143	0.4791313127
144	0.4785868915
145	0.478094112
146	0.4777729718
147	0.4773583826
148	0.4765587074
149	0.4760388501
150	0.4755200072
151	0.4750565545
152	0.4745654068
153	0.4741406303
154	0.4735126385
155	0.4731662287
156	0.4727221803
157	0.4722441745
158	0.4718723628
159	0.4715374191
160	0.4711042636
161	0.4708359558
162	0.4705515073
163	0.4702061118
164	0.47000444
165	0.4694278254
166	0.4690694644
167	0.4686994608
168	0.4682543099
169	0.4680559456
170	0.4675843344
171	0.4671455339
172	0.4667892897
173	0.4665267151
174	0.4659065291
175	0.4652778758
176	0.4649749932
177	0.4646561463
178	0.4643290966
179	0.4640092795
180	0.4637468371
181	0.4633706594
182	0.4631973884
183	0.4630659688
184	0.4626468813
185	0.4620859664
186	0.461680065
187	0.4612309009
188	0.4609042482
189	0.4602971601
190	0.4600303959
191	0.459686147
192	0.459439228
193	0.4590241978
194	0.4588826791
195	0.458424254
196	0.458061527
197	0.4576474228
198	0.4571821621
199	0.4568304602
200	0.4563348142
201	0.4561134294
202	0.4557436022
203	0.4555331103
204	0.4552966873
205	0.4550860631
206	0.4546494236
207	0.4542330703
208	0.4539349506
209	0.453467573
210	0.4531972367
211	0.4527761647
212	0.4524070431
213	0.4521075122
214	0.4518577708
215	0.4515473471
216	0.4513734145
217	0.4511935725
218	0.4508704919
219	0.4504455831
220	0.4503080335
221	0.4500756236
222	0.4496385872
223	0.4493543151
224	0.4492056962
225	0.4489848407
226	0.4487938853
227	0.448538014
228	0.4482920211
229	0.4479333073
230	0.4476299837
231	0.4475187621
232	0.4471719995
233	0.4470300399
234	0.4467783581
235	0.4465474035
236	0.4463151259
237	0.4461392088
238	0.4458789715
239	0.4457393492
240	0.4454677339
241	0.4453114416
242	0.4449958581
243	0.4447274622
244	0.4445170143
245	0.4442424002
246	0.4441114657
247	0.4439133661
248	0.4435954011
249	0.4432103593
250	0.4428911154
251	0.4427403797
252	0.4424925347
253	0.4422600366
254	0.4420386518
255	0.4418312029
256	0.4417043697
257	0.4414218175
258	0.4412302447
259	0.4409648476
260	0.4407862845
261	0.4405474801
262	0.4401571902
263	0.4399698952
264	0.4397966242
265	0.4394951969
266	0.4393052559
267	0.4390956019
268	0.4388953413
269	0.4386175519
270	0.438318462
271	0.4380647075
272	0.4379444894
273	0.4378144369
274	0.4376018723
275	0.437451313
276	0.4372402478
277	0.4369697791
278	0.4368050636
279	0.436557439
280	0.4363058454
281	0.4360925752
282	0.4358966805
283	0.435679353
284	0.4355516379
285	0.4353882453
286	0.4351074572
287	0.4349069761
288	0.4347170791
289	0.434400349
290	0.4342795135
291	0.4341545325
292	0.4340133226
293	0.4339099509
294	0.4337485429
295	0.4335885461
296	0.433484557
297	0.4332741533
298	0.4330181497
299	0.4328427177
300	0.4327047712
301	0.4322525642
302	0.4320074974
303	0.4318766511
304	0.4317249011
305	0.4315026344
306	0.4313619977
307	0.4311313519
308	0.4309093497
309	0.4307561444
310	0.4305182661
311	0.4302840922
312	0.4300799949
313	0.4298661954
314	0.4296273028
315	0.4295492007
316	0.4294823002
317	0.4292573874
318	0.4291220869
319	0.4289654859
320	0.428735722
321	0.4285408858
322	0.4283239111
323	0.428169471
324	0.4280525604
325	0.4277811657
326	0.4275545771
327	0.427397976
328	0.4273043065
329	0.4271417519
330	0.4270160212
331	0.4268639184
332	0.4266914853
333	0.4265385005
334	0.4264230012
335	0.4262870833
336	0.4261601178
337	0.425934764
338	0.425732122
339	0.4256803479
340	0.4255282893
341	0.4253425819
342	0.425135177
343	0.4249322263
344	0.4248410264
345	0.4246178776
346	0.4245134475
347	0.4243109819
348	0.424180753
349	0.4240163461
350	0.4239407578
351	0.4236946767
352	0.4235214057
353	0.4232840566
354	0.4231321302
355	0.4229297528
356	0.4228182666
357	0.4226426141
358	0.4225081956
359	0.4223728952
360	0.4221863499
361	0.4220017009
362	0.4219358588
363	0.4218417482
364	0.4216685212
365	0.4215028796
366	0.4213799714
367	0.4211909123
368	0.4209725264
369	0.4207264454
370	0.4206149592
371	0.4203488565
372	0.4202904233
373	0.4202181425
374	0.4200852234
375	0.4199399562
376	0.4198028035
377	0.4196136122
378	0.4193265617
379	0.4192092102
380	0.4190662362
381	0.4188901427
382	0.4187495943
383	0.4186023867
384	0.4184874606
385	0.4183343435
386	0.4182465834
387	0.4181772574
388	0.4181009193
389	0.4178922356
390	0.4177340028
391	0.4176256918
392	0.4174712517
393	0.4173525772
394	0.417250749
395	0.4169516591
396	0.4167196461
397	0.4165256037
398	0.416431405
399	0.4162402732
400	0.4160106416
401	0.4158822649
402	0.415843677
403	0.4156864585
404	0.415546307
405	0.4154587233
406	0.4152613734
407	0.4150858973
408	0.4149842896
409	0.4149113914
410	0.4147523207
411	0.4146263696
412	0.4145618064
413	0.414404191
414	0.4142441061
415	0.4141322671
416	0.4140210455
417	0.4139256119
418	0.413784402
419	0.4136970388
420	0.4135079356
421	0.4133544657
422	0.4131904558
423	0.4130976682
424	0.4129755097
425	0.4127034094
426	0.4125657275
427	0.4124881105
428	0.4123251149
429	0.4122168921
430	0.4119792784
431	0.411670751
432	0.41147909
433	0.4113696324
434	0.4112813431
435	0.4111924364
436	0.4110177101
437	0.4108249025
438	0.410765896
439	0.4105440702
440	0.4104673353
441	0.4103210096
442	0.4102158739
443	0.4101371545
444	0.4099929016
445	0.4098882951
446	0.4097757505
447	0.4096485204
448	0.4095294048
449	0.4093195303
450	0.4092197308
451	0.4091880666
452	0.4090588079
453	0.4088979732
454	0.408716279
455	0.4086098202
456	0.4085074188
457	0.408324622
458	0.4081409432
459	0.4080119932
460	0.407813629
461	0.407705318
462	0.4075884075
463	0.4074844625
464	0.4073695365
465	0.4072927133
466	0.4071014934
467	0.407025023
468	0.4069719259
469	0.4068020506
470	0.4066089784
471	0.4063941647
472	0.4062955559
473	0.406139043
474	0.4059710199
475	0.4057851802
476	0.4057080925
477	0.4055502125
478	0.4054389028
479	0.4053550235
480	0.405263118
481	0.4051899993
482	0.4051031212
483	0.4049684381
484	0.4048820452
485	0.4047957404
486	0.4046115765
487	0.4045567154
488	0.4044047449
489	0.4042891574
490	0.4042544503
491	0.4040910136
492	0.4039699135
493	0.4037928058
494	0.4037272723
495	0.4035842102
496	0.4035028006
497	0.4034003991
498	0.4032861346
499	0.4032383737
