iter	Passed	Remaining
480	2133	2301
481	2137	2297
482	2140	2291
483	2144	2285
484	2147	2280
485	2150	2274
486	2155	2270
487	2158	2265
488	2162	2259
489	2165	2253
490	2169	2249
491	2173	2243
492	2176	2238
493	2179	2232
494	2183	2227
495	2187	2222
496	2190	2217
497	2194	2211
498	2197	2206
499	2202	2202
500	2206	2197
501	2209	2191
502	2213	2186
503	2217	2182
504	2221	2177
505	2224	2171
506	2227	2166
507	2231	2160
508	2235	2156
509	2238	2150
510	2241	2145
511	2245	2139
512	2249	2135
513	2252	2130
514	2256	2124
515	2259	2119
516	2262	2114
517	2266	2109
518	2270	2103
519	2273	2098
520	2276	2093
521	2280	2088
522	2284	2083
523	2287	2077
524	2290	2072
525	2294	2067
526	2298	2062
527	2301	2057
528	2305	2052
529	2308	2047
530	2312	2042
531	2315	2037
532	2319	2032
533	2322	2027
534	2326	2022
535	2331	2017
536	2334	2012
537	2337	2007
538	2341	2002
539	2346	1998
540	2350	1994
541	2353	1988
542	2357	1984
543	2361	1979
544	2365	1975
545	2369	1970
546	2373	1965
547	2379	1963
548	2383	1958
549	2388	1954
550	2393	1950
551	2397	1946
552	2401	1941
553	2405	1936
554	2412	1934
555	2416	1929
556	2420	1925
557	2426	1921
558	2430	1917
559	2434	1912
560	2438	1907
561	2443	1904
562	2447	1899
563	2451	1895
564	2456	1891
565	2461	1887
566	2465	1882
567	2469	1878
568	2474	1874
569	2478	1869
570	2482	1864
571	2486	1860
572	2491	1856
573	2495	1851
574	2499	1847
575	2503	1842
576	2508	1838
577	2512	1834
578	2516	1829
579	2520	1825
580	2524	1820
581	2528	1815
582	2531	1810
583	2535	1805
584	2539	1801
585	2543	1797
586	2547	1792
587	2550	1787
588	2555	1782
589	2558	1778
590	2562	1773
591	2565	1768
592	2570	1763
593	2574	1759
594	2578	1755
595	2582	1750
596	2593	1750
597	2597	1746
598	2601	1741
599	2610	1740
600	2613	1735
601	2617	1730
602	2621	1725
603	2625	1721
604	2629	1716
605	2634	1712
606	2637	1707
607	2640	1702
608	2644	1697
609	2647	1692
610	2651	1688
611	2655	1683
612	2658	1678
613	2661	1673
614	2666	1669
615	2670	1664
616	2673	1659
617	2677	1655
618	2681	1650
619	2685	1645
620	2688	1640
621	2691	1635
622	2696	1631
623	2700	1626
624	2703	1622
625	2706	1617
626	2710	1612
627	2715	1608
628	2719	1603
629	2722	1599
630	2725	1594
631	2731	1590
632	2735	1586
633	2739	1581
634	2742	1576
635	2748	1573
636	2752	1568
637	2755	1563
638	2759	1558
639	2764	1555
640	2768	1550
641	2772	1545
642	2776	1541
643	2781	1537
644	2785	1533
645	2789	1528
646	2795	1525
647	2799	1520
648	2803	1516
649	2807	1511
650	2815	1509
651	2818	1504
652	2822	1499
653	2828	1496
654	2831	1491
655	2835	1486
656	2839	1482
657	2844	1478
658	2847	1473
659	2851	1469
660	2856	1465
661	2860	1460
662	2864	1456
663	2868	1451
664	2873	1447
665	2877	1443
666	2881	1438
667	2884	1433
668	2890	1430
669	2894	1425
670	2897	1420
671	2901	1416
672	2907	1412
673	2911	1408
674	2915	1403
675	2919	1399
676	2924	1395
677	2927	1390
678	2930	1385
679	2933	1380
680	2949	1381
681	2952	1376
682	2956	1372
683	2961	1368
684	2965	1363
685	2968	1358
686	2972	1354
687	2976	1349
688	2980	1345
689	2983	1340
690	2986	1335
691	2989	1330
692	2993	1326
693	2997	1321
694	3000	1316
695	3004	1312
696	3007	1307
697	3012	1303
698	3015	1298
699	3019	1294
700	3022	1289
701	3027	1285
702	3031	1280
703	3034	1275
704	3037	1271
705	3041	1266
706	3044	1261
707	3048	1257
708	3056	1254
709	3063	1251
710	3066	1246
711	3069	1241
712	3074	1237
713	3077	1232
714	3081	1228
715	3084	1223
716	3088	1218
717	3092	1214
718	3096	1210
719	3099	1205
720	3102	1200
721	3107	1196
722	3111	1192
723	3114	1187
724	3118	1182
725	3122	1178
726	3125	1173
727	3129	1169
728	3132	1164
729	3135	1159
730	3141	1155
731	3144	1151
732	3147	1146
733	3152	1142
734	3156	1138
735	3160	1133
736	3163	1129
737	3167	1124
738	3172	1120
739	3175	1115
740	3178	1111
741	3182	1106
742	3186	1102
743	3189	1097
744	3193	1092
745	3197	1088
746	3200	1084
747	3206	1080
748	3210	1075
749	3213	1071
750	3216	1066
751	3223	1063
752	3226	1058
753	3229	1053
754	3233	1049
755	3242	1046
756	3245	1041
757	3249	1037
758	3253	1033
759	3256	1028
760	3260	1023
761	3263	1019
762	3267	1014
763	3271	1010
764	3274	1005
765	3277	1001
766	3281	996
767	3285	992
768	3288	987
769	3292	983
770	3295	978
771	3300	974
772	3303	970
773	3307	965
774	3310	961
775	3313	956
776	3318	952
777	3321	947
778	3324	943
779	3328	938
780	3333	934
781	3336	930
782	3340	925
783	3343	921
784	3349	917
785	3352	912
786	3355	908
787	3359	903
788	3362	899
789	3366	894
790	3370	890
791	3373	885
792	3376	881
793	3381	877
794	3384	872
795	3388	868
796	3391	863
797	3395	859
798	3399	855
799	3402	850
800	3406	846
801	3410	841
802	3417	838
803	3420	833
804	3424	829
805	3436	827
806	3440	822
807	3445	818
808	3449	814
809	3453	810
810	3457	805
811	3462	801
812	3466	797
813	3470	792
814	3474	788
815	3479	784
816	3483	780
817	3487	775
818	3491	771
819	3496	767
820	3500	763
821	3504	758
822	3508	754
823	3513	750
824	3517	746
825	3520	741
826	3525	737
827	3528	733
828	3532	728
829	3536	724
830	3540	719
831	3544	715
832	3548	711
833	3551	706
834	3556	702
835	3561	698
836	3564	694
837	3568	689
838	3572	685
839	3576	681
840	3579	676
841	3582	672
842	3585	667
843	3589	663
844	3593	659
845	3596	654
846	3599	650
847	3605	646
848	3609	641
849	3613	637
850	3617	633
851	3621	629
852	3625	624
853	3628	620
854	3632	615
855	3635	611
856	3639	607
857	3642	602
858	3646	598
859	3649	594
860	3653	589
861	3657	585
862	3660	581
863	3663	576
864	3667	572
865	3671	568
866	3674	563
867	3678	559
868	3681	554
869	3686	550
870	3689	546
871	3692	542
872	3696	537
873	3699	533
874	3703	529
875	3707	524
876	3710	520
877	3713	516
878	3717	511
879	3721	507
880	3724	503
881	3727	498
882	3731	494
883	3735	490
884	3738	485
885	3742	481
886	3745	477
887	3749	472
888	3753	468
889	3756	464
890	3759	459
891	3762	455
892	3767	451
893	3770	447
894	3773	442
895	3776	438
896	3780	434
897	3784	429
898	3787	425
899	3791	421
900	3794	416
901	3798	412
902	3802	408
903	3805	404
904	3808	399
905	3812	395
906	3816	391
907	3820	387
908	3823	382
909	3827	378
910	3831	374
911	3835	370
912	3838	365
913	3842	361
914	3845	357
915	3849	353
916	3853	348
917	3856	344
918	3859	340
919	3864	336
920	3867	331
921	3870	327
922	3874	323
923	3877	318
924	3881	314
925	3884	310
926	3888	306
927	3891	301
928	3897	297
929	3900	293
930	3904	289
931	3907	285
932	3912	280
933	3916	276
934	3919	272
935	3923	268
936	3929	264
937	3933	259
938	3936	255
939	3940	251
940	3946	247
941	3949	243
942	3952	238
943	3956	234
944	3961	230
945	3964	226
946	3967	222
947	3971	217
948	3977	213
949	3980	209
950	3984	205
951	3987	201
952	3992	196
953	3996	192
954	3999	188
955	4003	184
956	4007	180
957	4010	175
958	4013	171
959	4017	167
960	4020	163
961	4025	158
962	4028	154
963	4032	150
964	4036	146
965	4041	142
966	4045	138
967	4048	133
968	4053	129
969	4057	125
970	4061	121
971	4064	117
972	4068	112
973	4072	108
974	4076	104
975	4080	100
976	4083	96
977	4087	91
978	4090	87
979	4093	83
980	4097	79
981	4100	75
982	4105	70
983	4109	66
984	4112	62
985	4115	58
986	4120	54
987	4124	50
988	4128	45
989	4131	41
990	4135	37
991	4139	33
992	4142	29
993	4146	25
994	4149	20
995	4153	16
996	4157	12
997	4160	8
998	4164	4
999	4169	0
